Time;Zone;Hen;PackID
2020-02-15T09:34:05Z;Tier_2;Hen_68;11_sp
2020-02-15T09:34:09Z;Tier_2;Hen_10;12_ps
2020-02-15T09:34:09Z;Tier_2;Hen_33;12_ws
2020-02-15T09:34:16Z;Tier_2;Hen_103;11_wp
2020-02-15T09:34:25Z;Tier_2;Hen_84;10_ps
2020-02-15T09:34:31Z;Litter;Hen_95;12_sb
2020-02-15T09:34:35Z;Tier_4;Hen_96;12_wg
2020-02-15T09:34:36Z;Tier_2;Hen_17;10_pp
2020-02-15T09:34:37Z;Tier_4;Hen_95;12_sb
2020-02-15T09:34:38Z;Tier_2;Hen_52;11_bb
2020-02-15T09:34:44Z;Tier_4;Hen_34;12_gg
2020-02-15T09:34:45Z;Litter;Hen_34;12_gg
2020-02-15T09:34:52Z;Tier_2;Hen_65;12_sg
2020-02-15T09:34:54Z;Tier_4;Hen_69;12_gp
2020-02-15T09:34:55Z;Tier_2;Hen_66;12_pb
2020-02-15T09:35:10Z;Ramp_Nestbox;Hen_17;10_pp
2020-02-15T09:35:15Z;Tier_2;Hen_82;11_ps
2020-02-15T09:35:19Z;Litter;Hen_82;11_ps
2020-02-15T09:35:29Z;Tier_2;Hen_54;10_bs
2020-02-15T09:35:34Z;Litter;Hen_84;10_ps
2020-02-15T09:35:38Z;Litter;Hen_54;10_bs
2020-02-15T09:35:53Z;Ramp_Nestbox;Hen_14;11_pp
2020-02-15T09:36:11Z;Tier_2;Hen_69;12_gp
2020-02-15T09:36:30Z;Tier_4;Hen_17;10_pp
2020-02-15T09:36:40Z;Ramp_Nestbox;Hen_75;12_bb
2020-02-15T09:36:42Z;Tier_4;Hen_75;12_bb
2020-02-15T09:36:50Z;Tier_2;Hen_100;10_bb
2020-02-15T09:36:53Z;Litter;Hen_100;10_bb
2020-02-15T09:36:57Z;Tier_2;Hen_57;12_wp
2020-02-15T09:37:13Z;Tier_2;Hen_61;12_sp
2020-02-15T09:37:19Z;Litter;Hen_33;12_ws
2020-02-15T09:37:41Z;Litter;Hen_95;12_sb
2020-02-15T09:37:48Z;Tier_2;Hen_94;10_sg
2020-02-15T09:37:53Z;Tier_4;Hen_45;11_ss
2020-02-15T09:37:57Z;Litter;Hen_45;11_ss
2020-02-15T09:39:01Z;Litter;Hen_57;12_wp
2020-02-15T09:39:16Z;Tier_2;Hen_14;11_pp
2020-02-15T09:39:16Z;Tier_2;Hen_28;11_gb
2020-02-15T09:39:46Z;Tier_2;Hen_36;11_sb
2020-02-15T09:39:46Z;Litter;Hen_96;12_wg
2020-02-15T09:40:29Z;Litter;Hen_61;12_sp
2020-02-15T09:40:34Z;Tier_2;Hen_96;12_wg
2020-02-15T09:40:49Z;Tier_4;Hen_57;12_wp
2020-02-15T09:40:55Z;Tier_2;Hen_44;11_sws
2020-02-15T09:41:19Z;Litter;Hen_96;12_wg
2020-02-15T09:41:27Z;Ramp_Nestbox;Hen_36;11_sb
2020-02-15T09:41:30Z;Tier_2;Hen_24;12_gb
2020-02-15T09:41:48Z;Tier_2;Hen_46;10_wp
2020-02-15T09:41:57Z;Tier_4;Hen_36;11_sb
2020-02-15T09:42:25Z;Tier_2;Hen_8;12_ss
2020-02-15T09:42:28Z;Tier_4;Hen_8;12_ss
2020-02-15T09:42:46Z;Litter;Hen_57;12_wp
2020-02-15T09:43:56Z;Ramp_Nestbox;Hen_28;11_gb
2020-02-15T09:44:05Z;Litter;Hen_52;11_bb
2020-02-15T09:44:33Z;Tier_2;Hen_96;12_wg
2020-02-15T09:45:08Z;Tier_4;Hen_28;11_gb
2020-02-15T09:45:23Z;Litter;Hen_66;12_pb
2020-02-15T09:46:22Z;Ramp_Nestbox;Hen_34;12_gg
2020-02-15T09:46:40Z;Tier_2;Hen_100;10_bb
2020-02-15T09:47:35Z;Litter;Hen_14;11_pp
2020-02-15T09:47:36Z;Tier_2;Hen_34;12_gg
2020-02-15T09:47:44Z;Litter;Hen_65;12_sg
2020-02-15T09:48:10Z;Litter;Hen_30;12_gs
2020-02-15T09:48:14Z;Litter;Hen_68;11_sp
